ccgc,3,5,4,6,8,1
caci,1,7,5,8,4,2
cgjb,4,5,3,7,9,5
ceic,7,3,1,7,1,7
cbga,8,8,7,3,5,4
cbja,4,3,1,2,3,4
chbh,8,5,4,5,8,5
cdhf,7,6,2,7,3,2
cejg,1,3,1,6,4,5
cige,4,9,9,9,4,4
cgfd,9,2,1,9,9,3
cdjb,2,3,3,9,4,9
cdii,3,4,9,8,5,7
cijg,5,2,9,6,5,7
ccfa,9,6,4,1,5,8
cacg,9,5,8,3,2,6
ccab,5,1,2,6,5,7
cfcg,9,1,1,6,8,8
cjjd,7,8,1,2,4,8
ceaf,1,1,7,1,4,2
cdij,7,2,1,2,2,4
cjjf,4,3,2,1,1,8
ccgd,8,5,5,1,1,3
caah,5,3,9,9,6,8
cjbb,6,4,6,4,3,9
ceeb,3,2,1,4,1,4
cage,2,4,1,5,3,9
cjfe,8,9,8,5,6,6
cede,6,9,6,7,9,2
ciej,9,9,1,3,7,1
cjfb,4,8,3,6,1,8
cgac,6,3,1,8,7,2
cjba,4,1,5,6,5,6
cihc,6,2,1,9,2,5
cdcc,4,8,7,2,8,6
chih,2,9,6,6,8,2
cich,4,3,3,2,5,3
cagf,5,7,5,1,6,8
cfef,3,5,8,9,4,6
ccjc,9,6,8,8,1,2
cgfi,2,9,8,3,3,1
cehj,4,6,5,3,7,3
ceeg,7,7,5,8,9,3
cdhd,4,7,6,5,9,3
cfhh,9,6,3,6,9,3
cjih,7,3,2,5,3,6
cccf,6,3,2,4,5,6
ciic,6,6,7,5,2,1
cijb,2,9,3,2,9,9
ceah,4,3,1,3,5,5
cbee,2,5,7,7,7,2
cfgi,2,6,1,5,8,2
cfcj,4,3,2,3,3,3
cgee,9,2,6,8,7,6
cbic,1,2,2,5,8,3
cffh,5,6,1,8,8,2
chba,1,5,6,4,3,7
cbhb,4,1,6,2,9,6
ccbb,5,7,5,5,1,7
ciij,4,9,1,3,2,6
cebj,7,6,4,1,1,7
cjeh,9,6,4,3,9,5
cagi,5,3,3,7,8,4
cihe,3,4,4,5,2,3
cajd,1,7,2,7,7,2
cgeg,8,6,2,6,8,5
caed,7,2,8,1,8,9
ccdg,7,8,4,4,5,2
cgia,7,4,2,8,5,4
cgga,3,5,5,2,6,7
cgeb,2,6,5,8,5,9
chij,4,3,1,3,5,9
cfgc,1,4,6,2,7,7
cccg,1,2,1,2,3,1
cbji,7,9,6,8,5,9
cgch,6,2,6,4,3,5
cdge,8,4,2,5,9,5
ciia,8,7,6,4,9,2
cgbh,5,5,5,2,1,4
cdei,5,7,3,8,9,8
cfbf,9,6,3,3,4,2
cchf,8,1,7,2,1,8
cfff,1,6,4,3,8,2
ccag,8,6,9,7,8,9
chgg,6,4,8,8,3,5
cjhg,2,5,6,5,2,3
cbcj,8,9,2,1,4,8
ciee,3,9,5,5,3,2
cifh,2,3,6,4,2,2
ciif,4,8,4,3,8,8
chhg,7,4,6,4,4,1
cijj,5,6,1,9,9,6
cefg,5,6,6,5,4,7
ccjf,6,8,1,6,9,8
cfbh,5,7,8,7,3,7
chcf,3,5,8,1,7,8
cheh,3,1,7,6,5,3
cgdi,1,7,4,4,3,1
cbig,2,9,5,2,7,5
cfbd,4,3,6,8,2,3
ceeh,4,8,3,3,4,9
cgbj,4,7,5,9,4,8
ccei,7,4,2,1,2,2
cgjf,6,8,5,7,6,8
ciai,4,9,7,3,1,4
ccec,6,5,6,5,9,8
cbci,8,9,8,2,8,1
cjgj,5,3,2,3,4,4
cbbh,1,1,4,7,8,1
ccbg,3,8,3,1,6,8
cjhf,4,1,9,9,5,7
cjdi,6,4,7,4,9,3
cdgf,1,2,2,7,9,6
cbii,4,8,9,9,1,6
caif,5,1,1,4,9,4
cajb,9,7,5,2,1,7
chai,2,1,1,2,4,5
cegi,4,6,1,5,7,8
cfhi,6,9,8,9,8,1
ccfe,3,3,9,3,6,4
ccce,4,7,9,2,8,3
cfdh,9,1,6,8,1,4
cdid,8,7,5,1,2,8
cade,6,9,9,5,8,3
cebc,5,1,2,1,4,1
cceg,5,7,1,5,1,9
ceib,7,5,5,2,1,9
cicb,5,1,3,4,6,3
ccii,4,5,9,4,6,9
ccgf,8,7,2,7,4,8
cjff,5,1,1,1,6,6
ccff,8,2,7,2,7,4
ceef,7,4,5,2,6,4
ccaj,5,5,8,4,2,3
cbdg,1,8,3,6,4,7
cjef,6,1,8,7,5,8
chjd,8,5,3,3,3,4
cefe,2,2,7,5,1,4
caha,8,2,9,3,7,3
chda,6,6,2,2,1,7
cbge,6,7,6,3,1,6
cfch,6,8,1,6,8,9
ceei,2,1,3,3,5,5
cacc,8,4,8,6,7,3
cgba,7,3,9,2,8,1
cedd,4,9,5,4,1,7
cdfh,6,4,7,1,6,5
chch,4,3,2,3,7,6
cagj,2,6,7,3,9,1
cjjj,8,2,3,6,3,4
cchd,2,7,2,5,2,4
cbfh,4,8,3,1,2,5
cefh,7,9,4,2,1,2
cbec,2,8,2,7,9,3
cdfa,2,3,3,8,9,3
ccad,7,8,2,8,7,9
cbjh,3,6,1,3,7,4
cgbb,9,2,7,4,4,9
cifa,8,6,9,1,1,9
ceja,4,2,9,8,4,4
cbbb,4,5,8,7,8,1
cbgc,5,4,2,9,9,3
cfdc,4,3,3,5,3,3
cfba,9,5,1,2,8,3
cbej,4,6,4,5,1,9
cadi,4,3,2,9,9,5
cgji,6,6,5,3,7,4
chdf,7,9,6,3,6,2
cffj,6,7,1,8,1,8
cbjc,2,7,4,5,6,2
cdea,6,3,8,9,6,5
ceid,6,5,9,2,7,1
cbgh,2,6,9,4,6,5
chff,6,8,1,8,6,6
cejb,8,4,9,4,5,4
cehd,5,9,4,6,4,8
cbgd,2,4,8,7,3,4
ccje,2,2,4,3,3,3
cjhd,4,5,8,7,9,3
chhc,8,5,7,6,7,8
cfbj,3,8,5,6,2,9
cgif,2,1,4,8,7,3
chej,3,3,4,9,2,2
ccah,5,3,9,1,3,8
cfhd,3,4,6,5,5,1
cicc,6,6,8,7,8,5
cfhj,9,1,5,9,3,7
cfjg,7,2,6,1,3,1
cbbd,2,8,6,1,1,8
cach,9,2,7,6,7,4
caia,3,1,6,2,5,5
cjdj,9,9,3,5,3,8
cfcc,7,7,3,6,7,4
cbfi,8,1,3,4,5,8
cjji,5,1,5,5,3,5
cadh,8,2,6,7,6,2
cjhc,9,4,6,5,8,2
cibe,9,1,5,1,6,2
cheb,6,7,6,7,4,8
cefi,6,8,1,8,5,2
cidi,9,5,5,1,3,8
cief,2,7,3,6,3,3
ccie,1,8,6,9,8,8
cajh,5,7,6,3,4,3
chab,6,1,2,4,7,2
cajj,7,2,9,1,2,4
cbhd,4,2,9,6,1,9
cfai,8,7,2,6,7,1
cgfc,1,7,9,3,8,3
caea,8,7,3,3,8,1
cbgj,9,5,6,2,9,1
caic,4,5,6,6,6,2
ccfg,5,5,9,2,5,6
caac,6,8,4,8,4,2
cidd,8,9,9,2,4,3
cigd,2,7,7,4,9,9
cifj,5,5,8,2,7,8
ceca,6,4,4,9,6,3
ccbh,7,5,1,5,7,7
cbaf,8,6,7,3,2,8
cejd,7,9,5,9,9,4
cgbi,6,4,8,1,2,2
chei,7,8,3,9,4,7
cccc,9,6,1,1,1,5
cebh,2,7,9,6,1,7
ceaj,3,1,8,4,5,1
cgfh,6,7,9,1,8,1
chjc,9,2,7,3,9,7
cfbe,6,7,6,4,9,3
cdhb,2,4,3,4,6,7
cihd,6,2,1,1,3,1
cfae,4,5,6,8,2,5
cbbg,9,6,1,9,1,4
cgdd,2,6,2,8,3,8
cgjh,3,9,8,8,1,8
cagd,1,6,6,6,9,4
chci,7,8,8,5,4,9
cddh,1,6,5,4,4,5
cedf,5,5,9,6,5,2
ccic,8,5,2,5,9,1
cibj,9,1,5,4,5,5
cfhf,5,6,9,8,9,3
cghh,1,4,9,6,2,7
cdce,5,5,1,3,3,2
cida,8,3,7,3,1,9
cabc,9,1,7,8,3,1
cecb,7,9,5,2,9,8
cbeb,4,8,7,7,4,9
cfaj,7,6,8,3,2,1
chgb,9,2,5,1,9,8
cgii,1,2,6,8,4,6
cdca,4,2,8,2,8,7
cjcj,9,8,8,8,5,9
cdee,4,1,3,7,7,3
cgbf,2,5,3,5,7,5
cfec,7,6,7,8,1,1
cdfj,2,8,1,2,8,9
cjja,7,6,6,8,6,9
chjh,7,4,3,9,1,1
cchg,8,6,8,9,3,1
cafe,7,8,1,4,5,6
cffg,5,8,5,6,2,2
caai,2,1,6,6,1,4
cgbc,7,8,7,8,8,8
cjch,9,3,9,2,7,6
cfdi,7,4,9,4,7,2
cjii,7,2,1,6,6,2
cjgh,2,3,4,8,5,6
cahd,1,4,9,4,1,3
cfjb,4,4,4,5,6,8
cjha,5,4,6,9,4,5
cfdg,6,9,4,9,5,4
cegb,1,9,7,5,7,4
chhd,4,8,7,7,5,7
cegf,6,2,4,4,1,6
cfic,3,1,8,5,5,8
cdba,5,8,9,9,9,4
cjeg,8,7,5,8,5,9
cdgg,9,6,5,7,5,8
cfgg,5,9,5,1,5,8
cgje,8,4,7,4,5,9
ccca,1,3,3,4,7,3
cjhh,9,5,6,3,7,1
caeb,9,1,5,5,1,1
cbdf,4,7,5,4,9,5
cada,3,8,3,3,3,6
cici,3,5,4,5,9,2
cadc,4,2,7,9,2,2
ccib,1,4,7,5,8,4
cabe,1,5,6,5,2,4
cdha,2,6,9,2,5,1
cbca,1,3,5,1,2,1
cgej,5,7,3,8,7,1
cafj,5,6,5,7,5,3
ciaf,2,3,5,9,4,3
cabh,8,3,4,8,2,6
chdh,4,9,7,9,4,9
caib,2,1,3,4,8,8
cggh,3,6,2,4,1,1
chgc,7,7,9,9,3,7
chae,5,9,2,8,8,1
cefa,6,3,8,2,8,5
cgef,7,4,5,3,2,2
cefb,3,8,9,8,3,2
chjb,4,3,1,2,5,6
cjif,3,5,4,3,8,9
cdbd,6,3,5,3,1,2
chaa,8,4,9,3,6,4
cdfc,1,9,5,3,3,1
cbha,5,8,5,6,3,2
cghe,2,3,7,3,7,6
cabj,9,8,8,5,2,4
ceab,3,6,4,2,3,3
cide,9,1,4,7,4,4
cjdd,5,1,4,9,4,1
cdhh,3,9,9,8,3,9
ccfh,3,6,8,4,2,8
cgcd,1,3,7,6,8,8
cgaa,5,9,1,3,3,3
cigb,4,2,3,1,6,4
ccaa,9,1,1,7,6,5
cgci,3,5,8,8,2,5
cjbj,8,8,5,6,4,5
chag,8,3,4,8,7,6
cgaf,7,4,1,6,8,4
cgdf,4,4,5,2,2,2
cjhj,1,8,2,8,9,6
cfac,3,4,5,3,6,2
cbid,1,6,8,1,7,9
cdfd,8,9,6,9,1,5
cbff,6,7,8,9,7,6
cabd,4,1,3,1,3,8
cdjj,1,3,6,4,1,8
ccee,2,3,5,8,3,8
cbhg,7,4,9,1,3,8
cbag,5,9,3,5,1,4
cigi,5,5,7,6,3,9
cghi,7,1,8,1,8,3
cbgg,3,7,1,4,4,4
cfci,6,3,3,8,2,7
cjbi,4,2,5,2,6,7
cdbh,6,8,7,1,5,5
caie,4,6,1,6,5,3
cebd,8,1,7,6,6,2
cecg,8,9,5,2,5,1
cbcf,1,9,7,8,5,5
cggb,1,8,5,4,9,1
cjda,4,9,9,1,6,3
cggd,9,6,8,5,4,5
cedj,5,7,7,7,6,1
cgdg,4,4,8,7,4,9
cdgc,5,4,9,9,3,9
caid,4,8,7,8,6,4
cigg,2,5,4,5,6,9
cdhi,6,7,9,9,5,5
cejh,3,9,8,6,3,1
cebe,1,4,1,8,6,8
cace,3,6,4,2,1,7
cjcc,3,4,8,7,5,3
cfea,9,2,5,9,8,1
chif,7,5,9,1,5,6
cgff,3,6,2,2,2,3
ceig,8,3,5,2,2,4
caeh,4,9,3,9,9,6
ceaa,8,1,5,3,6,2
cfeg,5,3,7,6,6,3
cedi,7,9,3,7,4,4
cbfg,4,6,4,2,8,2
chgh,6,8,5,2,5,7
chia,3,8,2,4,2,4
chdd,1,3,6,1,4,2
caig,4,1,9,9,9,9
ccdf,9,4,8,7,5,5
cahe,4,4,8,4,9,4
cafb,9,9,7,5,9,6
cafh,2,6,9,4,4,8
cfia,9,2,1,5,6,3
cjcd,3,7,8,3,1,2
caef,6,1,7,1,3,1
cecc,9,5,5,8,3,2
cdje,6,2,2,2,7,6
cafa,3,9,4,9,1,3
cbai,8,3,5,2,6,5
cfca,4,7,8,8,9,1
cicf,8,5,9,7,2,5
cbab,3,1,7,5,6,6
cgde,4,9,9,6,4,7
cege,1,2,5,9,5,4
cajc,7,9,1,8,2,2
ceai,9,3,2,6,9,9
ccaf,8,6,2,2,9,2
cdfe,8,4,9,6,6,5
cedb,7,2,7,3,7,1
cieb,2,4,7,9,5,6
cbdh,9,4,1,3,4,8
ciid,8,3,5,1,2,2
ccbf,8,3,1,1,3,1
cfha,6,3,6,8,4,4
ccif,6,6,1,6,7,1
cbce,2,3,4,6,5,7
cdeh,6,1,8,2,3,5
ccbc,7,1,7,9,2,2
cacj,4,4,4,8,1,2
cbie,7,2,7,9,6,4
cfei,6,2,5,3,7,8
cihi,2,9,1,6,2,5
ccgb,4,8,3,2,9,1
ccjh,1,1,9,9,2,8
ceej,7,9,7,8,7,7
ccha,6,7,3,4,4,6
cjdh,7,9,9,4,6,9
cgij,1,7,3,5,8,5
cadb,8,8,3,5,2,1
cece,4,6,5,9,5,8
cbje,2,9,7,6,6,7
cefd,6,6,7,1,2,5
cbhe,1,6,5,6,8,3
cifi,4,1,4,1,1,9
cjhb,5,7,4,3,6,7
cfdf,9,7,9,8,5,2
chfi,6,7,2,2,9,9
caeg,7,2,6,3,5,1
cfed,2,7,3,1,4,9
cdbi,9,1,6,1,1,5
cdec,9,8,3,7,4,7
ceed,6,6,3,1,6,3
cdbj,6,6,5,9,1,3
chje,2,6,5,3,6,6
cagb,6,1,3,8,3,8
cgbe,9,8,3,3,7,3
cjgc,9,4,3,7,8,3
cfdb,6,8,1,5,6,6
cbjb,7,6,5,1,6,5
chcb,9,1,3,4,1,2
cbdd,6,5,5,8,4,4
cfjj,8,7,9,2,2,2
cagc,1,4,8,3,5,6
chbi,2,9,9,8,1,2
cgae,3,8,3,1,4,8
cbfb,6,3,8,2,1,6
cbgi,3,8,8,2,6,6
cegd,9,1,3,7,1,9
cehb,9,3,4,4,3,5
cgic,2,2,5,6,3,1
cjga,4,3,6,5,4,2
cfdj,4,2,1,1,8,8
ceie,6,8,7,6,6,3
cacf,3,7,2,7,2,8
cgec,5,4,4,9,9,1
cegh,7,8,3,1,2,6
chig,2,9,4,5,8,4
cjdg,3,7,7,7,8,9
cidh,7,8,1,3,7,8
ccih,4,5,8,7,3,8
cfcb,3,7,1,7,4,4
chja,9,3,6,3,8,4
cceh,8,8,5,3,2,3
cbed,9,7,9,7,8,5
ccbi,7,4,6,1,3,6
cigf,7,9,1,7,5,9
cjbh,7,3,6,9,3,7
cdbg,3,5,7,3,6,7
chde,4,8,2,4,7,8
cjae,5,4,6,2,9,7
cija,9,1,6,2,6,8
cbgf,4,2,8,6,2,6
cafd,3,3,4,2,6,5
cgai,9,9,3,6,2,2
cfbb,7,3,2,4,5,4
cjcb,3,8,9,5,7,1
cibf,8,7,7,1,2,4
cfej,1,3,8,7,8,1
ceia,6,7,5,9,4,1
cfif,6,9,1,7,3,7
cdib,9,8,6,7,2,7
chef,7,9,9,4,4,9
cehg,4,1,7,8,7,9
cfeb,8,1,5,4,9,7
cgjg,5,3,6,6,1,3
cafg,5,5,5,7,7,1
cjcg,4,3,2,1,4,9
chcj,7,2,5,6,1,3
ccjb,5,3,3,6,8,8
cbhj,5,2,2,7,8,4
cibb,7,3,7,2,3,4
cdcb,4,8,9,1,3,8
ccej,1,3,8,8,4,5
cehi,8,8,9,7,2,6
chec,4,1,6,8,2,1
cfgb,9,7,3,8,7,5
cbih,4,6,5,2,9,3
ciah,7,8,3,6,8,2
cjje,6,2,2,8,5,4
cdia,1,6,9,3,8,2
ceci,4,8,6,1,8,4
cdeb,1,6,2,8,5,7
cbfa,7,9,9,9,9,8
ccij,3,2,6,4,2,8
ccge,7,7,9,7,2,7
cbda,2,3,6,2,2,4
