dbda,5,9,1,2,5,5
djdi,8,6,8,3,9,4
dddi,5,4,6,4,8,3
ddaf,5,9,8,8,3,9
dcie,1,8,9,1,8,7
ddeg,8,1,1,5,3,5
djfh,7,8,2,2,8,7
dddc,8,4,4,9,2,8
dach,7,5,2,4,3,1
dgce,4,5,8,9,6,2
dfbg,3,1,3,6,1,1
dgdb,3,6,3,7,6,2
dddh,6,2,6,6,9,7
dchg,6,3,2,2,1,9
dchh,8,1,6,4,1,4
daha,1,9,3,1,5,1
dgfh,4,9,9,1,6,1
dffe,4,2,7,5,9,3
ddjd,8,8,6,6,6,4
deai,3,3,4,4,6,5
dbch,9,3,3,3,5,5
dggi,6,3,2,3,6,4
dfgi,5,9,2,5,8,7
dadh,1,3,1,6,3,4
dghf,7,8,2,5,2,1
djce,9,5,7,5,6,6
defi,4,7,8,1,9,3
dahi,9,1,3,6,2,2
dfde,7,2,2,3,5,2
dghi,2,2,5,8,9,5
ddha,6,5,1,4,1,5
dfid,2,4,1,4,6,6
dgid,9,3,2,2,8,5
dfca,9,4,7,7,7,7
djjj,3,8,4,2,9,2
dfjf,1,8,9,8,6,9
ddje,6,5,2,8,1,4
dcff,4,9,4,7,2,7
dhfj,5,5,5,1,3,4
dheg,1,2,1,4,3,7
dbdb,2,8,8,1,2,7
ddhe,2,9,9,4,7,2
ddba,5,7,3,2,5,1
dghc,1,7,5,9,5,8
ddee,2,4,8,8,5,8
dbbb,7,1,5,4,5,3
diag,1,9,4,7,5,6
dejc,3,5,2,6,4,5
dgfj,2,1,6,6,3,3
ddfd,3,9,2,2,2,4
diib,9,7,7,5,4,4
dfij,5,6,9,2,7,2
ddcd,7,7,7,8,7,1
dbif,8,8,2,5,8,3
dahh,5,7,3,1,3,5
djdc,8,1,6,3,2,5
dege,3,5,1,2,7,7
dbah,1,9,9,9,1,1
djfj,2,8,4,9,4,9
dffj,8,2,6,8,3,7
dgjh,4,1,8,4,6,1
daib,6,2,3,3,1,5
dbge,4,3,3,9,9,8
dcic,2,8,7,8,7,2
dici,6,1,7,9,8,7
dehf,2,6,8,7,7,1
daba,1,4,8,2,7,6
dffh,1,1,4,7,2,2
dahe,8,3,6,4,1,3
dehi,6,3,6,3,4,5
dgie,5,3,4,5,4,4
ddcf,2,4,2,9,5,4
dacf,5,4,5,4,3,6
djja,1,4,5,4,8,3
dhbj,5,7,4,4,1,7
ddgj,8,8,3,6,1,2
dccd,9,5,8,4,1,2
dadj,4,7,3,1,3,8
dgjb,6,8,7,3,7,3
dfcb,3,9,6,1,1,9
dded,1,2,3,6,8,4
debi,7,1,3,2,6,8
djca,7,6,7,2,9,3
dafa,3,6,4,6,3,4
deji,3,9,4,7,7,5
dfhe,9,7,1,8,8,7
dfhd,9,7,9,5,2,4
daei,9,9,4,4,6,8
deje,9,7,3,9,4,1
dbdf,8,1,1,7,2,1
diga,5,8,9,7,4,9
deic,3,1,9,6,6,1
dagj,9,2,5,8,2,1
ddgf,9,4,7,4,2,6
djej,1,4,1,4,5,4
dcjh,8,3,9,7,8,4
dfeg,2,3,9,4,9,9
dggj,1,3,2,8,1,2
dbci,8,4,6,9,5,2
dfba,6,9,8,9,5,1
dcfj,2,2,2,8,8,4
dbhj,8,7,8,4,7,4
dacc,2,5,1,7,4,6
dgai,7,9,4,9,7,5
dcef,7,4,5,5,2,2
dcjj,2,7,2,5,1,5
djch,5,6,4,5,2,7
dfga,5,6,6,4,6,4
dcfb,4,6,5,2,6,9
djeb,4,2,2,9,2,9
dbgf,3,5,4,4,1,9
dbaf,1,6,1,5,9,8
dbad,5,9,5,6,5,6
dbgc,8,3,7,1,2,4
dihb,5,6,6,9,8,1
ddej,5,4,6,3,2,5
dgge,4,7,3,7,6,2
dfbf,2,5,9,2,4,2
dhbc,7,4,8,2,6,5
dheh,3,2,8,1,6,5
deei,7,1,1,7,9,1
dcja,6,9,2,9,7,6
ddaa,5,3,5,4,7,2
dafj,1,6,3,1,4,8
ddfa,9,2,3,8,4,2
ddei,7,8,7,1,9,6
djgg,2,7,1,1,8,5
dgch,8,2,1,5,7,5
dgff,7,3,5,2,7,1
dabh,3,3,9,6,8,5
dbhb,7,7,3,5,1,3
dgag,6,6,3,6,8,3
dega,3,1,1,3,8,5
dcbh,5,2,8,3,6,7
dddg,9,8,1,7,1,6
degb,2,8,4,6,3,9
dceh,9,8,2,6,3,3
dfif,4,4,3,5,7,9
dgeg,9,2,6,6,2,5
diai,1,3,4,1,8,9
djhe,6,1,6,1,4,3
degf,4,8,5,4,8,8
dahd,4,2,2,2,1,2
dadd,8,3,7,3,8,4
dfge,7,6,2,3,3,1
dfcj,7,6,6,9,9,8
dajc,1,7,8,3,1,4
dcdh,4,9,6,8,7,8
dace,9,1,1,9,4,8
dbjb,1,9,5,1,1,6
dbjj,5,1,2,2,9,6
dfcg,3,2,1,7,9,1
dehe,7,8,4,5,9,1
ddbj,4,1,6,5,5,7
diaj,5,1,7,2,5,3
dgcc,1,9,2,8,6,1
djae,9,5,7,6,2,7
dhjb,7,9,7,8,3,1
ddfe,6,1,1,9,5,1
dbfd,9,1,5,4,2,3
dcdg,9,1,7,5,5,6
dhfe,8,1,7,7,2,5
dhfh,5,6,9,1,8,7
dcfd,3,4,5,2,5,1
dgdd,4,8,9,5,6,5
dcdd,2,1,3,1,2,2
djfg,9,7,2,5,5,1
djih,3,4,1,1,1,3
dfjg,6,6,6,6,6,9
djbc,6,8,8,6,7,1
dbbg,4,3,1,1,8,2
ddeh,1,9,1,8,4,6
dbje,9,6,6,5,5,2
dhei,4,9,9,4,2,9
dhad,9,1,3,5,4,6
dije,6,3,9,2,7,8
deeh,5,7,2,7,1,5
dfai,1,8,9,1,8,1
dgfc,4,5,7,1,8,9
ddhg,1,1,1,9,4,3
diec,9,5,7,2,2,1
ddgh,1,3,3,6,4,8
dahg,2,2,9,3,8,4
dcaa,2,1,2,2,6,4
djid,2,7,5,9,8,5
diei,5,4,1,5,2,5
dhaj,7,4,5,2,1,2
deag,2,8,8,1,5,8
dgac,6,4,2,6,8,8
daeh,4,8,3,8,1,1
dhdh,3,2,4,9,9,1
dhgi,1,4,7,1,4,7
dhhe,3,2,8,5,2,5
deie,7,7,2,4,8,3
diea,1,5,5,2,2,4
deci,1,5,9,3,5,4
ddge,9,2,2,1,6,8
dacj,4,9,3,8,5,7
ddif,4,2,5,9,7,1
ddef,3,7,1,7,8,3
deha,9,5,1,4,7,5
djcc,4,6,3,4,6,3
djac,7,4,7,8,2,9
daca,1,5,8,7,2,2
ddgb,3,6,5,8,2,5
djhh,7,8,1,5,2,1
dgbb,7,6,9,4,9,4
dbeb,8,8,6,7,3,7
dbeg,7,5,2,9,1,1
diji,6,2,5,8,2,1
dcej,9,2,3,3,6,2
dghd,8,7,9,9,8,6
dfjc,8,7,8,8,6,2
dbfa,6,3,1,2,8,2
diha,8,8,5,5,6,7
diid,3,2,3,7,5,5
deid,2,2,5,7,2,9
dahj,3,2,2,1,7,6
dgad,8,8,3,8,6,1
dgij,4,8,7,9,8,7
djeh,2,1,8,7,2,7
daie,9,6,4,4,5,3
dhdf,7,7,5,7,5,3
dbid,2,4,4,3,7,1
didc,3,2,6,4,9,3
dihh,5,1,7,6,8,1
dehh,4,6,4,3,8,3
dbce,6,3,1,2,1,9
degh,1,6,2,8,6,1
dddf,3,1,8,5,9,9
dcjf,5,4,7,3,4,9
dhgc,8,6,7,2,3,1
dbjg,8,3,2,7,2,1
dide,3,5,7,2,6,6
dbdd,6,1,1,2,1,3
dhfg,9,3,4,8,1,4
dbcj,2,4,1,6,1,6
dbga,8,7,3,3,4,9
dcif,6,4,2,1,9,4
dhdc,6,7,7,7,1,9
dead,1,8,3,5,8,9
decd,8,5,6,5,1,9
deaa,7,1,7,5,2,2
dffd,4,5,4,9,4,3
dcah,6,9,1,6,9,2
dadb,8,5,2,4,9,7
debb,4,1,4,7,8,4
dbcg,6,5,1,7,7,1
dbih,3,1,2,1,8,1
dcad,8,2,6,3,3,3
djde,2,6,4,4,4,3
diah,1,6,2,2,4,8
dghh,3,5,4,7,8,7
dihg,5,6,3,9,5,8
dhid,3,1,6,7,5,7
dicg,8,5,3,2,5,8
dcjd,6,4,1,3,7,3
dgjj,8,8,3,8,1,5
diaf,5,6,3,3,1,3
dabi,7,7,2,5,1,1
dede,9,2,7,5,9,4
dcag,1,1,4,1,9,5
debj,8,7,3,8,4,9
dccf,1,7,7,4,9,9
dcia,1,1,2,6,3,6
deif,1,9,4,9,4,4
djfb,4,4,4,8,3,4
dbhi,9,4,8,2,4,9
digh,6,2,8,4,1,6
diee,6,2,8,1,2,3
djii,9,8,8,8,6,4
dibg,5,2,9,2,8,4
dhga,4,5,6,3,5,4
ddbi,2,5,5,8,6,5
dgcg,8,7,3,8,4,3
dghj,5,7,2,4,7,7
ddhb,5,5,6,7,1,1
dgbd,5,6,2,4,9,7
ddjh,4,9,6,3,8,6
dgig,4,7,6,5,9,5
dhfd,3,4,4,2,5,7
djbj,1,7,1,4,1,6
dhic,8,4,4,8,1,5
deee,4,9,6,4,5,4
daif,1,9,7,4,1,4
deih,6,7,6,9,2,8
dhgb,8,2,5,4,5,6
deed,8,9,6,1,6,5
ddig,4,7,5,1,2,5
deig,8,2,4,4,2,3
deaj,6,4,2,9,1,8
didd,3,6,8,9,9,7
diej,6,9,8,8,9,8
dccb,3,7,4,6,4,7
dcdj,7,9,3,4,8,4
dcig,2,2,5,3,4,5
dfdg,1,9,4,9,2,5
ddbe,6,1,8,6,3,9
dhba,8,5,8,3,8,1
dhbe,9,2,6,5,3,8
dhib,1,5,9,5,1,2
djfa,4,6,7,1,3,6
dbcb,7,2,9,5,3,7
difc,8,4,4,7,6,5
dcji,8,2,2,7,8,2
djhj,3,3,2,8,2,7
dhgf,8,4,8,7,2,2
dhjj,9,7,2,8,8,6
didi,1,7,5,2,7,9
dejb,1,7,2,5,4,6
dbdi,1,5,4,6,2,8
dhij,3,1,9,9,5,9
dhdb,1,6,4,8,4,5
dhaa,5,1,2,8,7,9
dbfi,1,4,4,7,4,6
dbja,8,2,1,2,8,1
dhdg,4,7,8,6,9,6
djdd,5,7,5,3,7,6
dhhc,2,7,6,3,9,2
dggc,7,7,6,7,7,4
ddic,4,2,6,8,2,3
dcii,2,5,7,3,9,6
dagf,9,7,9,9,2,5
dgii,3,7,2,8,1,1
dfbj,9,2,1,5,4,7
dhig,7,3,4,6,1,5
dbhc,7,4,2,3,5,2
dcbf,8,4,1,1,9,2
djea,1,2,5,4,8,9
dhca,4,4,7,5,2,2
dcec,5,9,3,1,4,5
dcgi,4,7,1,3,3,6
dicd,8,4,3,1,9,9
dbgi,2,8,4,9,3,5
dcdf,6,1,1,6,8,9
dfhj,1,4,7,5,5,4
dcbi,1,8,5,7,6,8
dhee,5,4,8,2,5,2
djed,2,5,7,9,7,7
dcgh,1,5,4,3,4,6
dbic,2,2,4,6,4,6
djai,3,2,9,5,7,7
ddbb,6,4,5,1,2,9
dfhg,9,2,5,7,7,3
djag,7,8,9,3,3,4
djgc,7,8,4,7,7,3
daih,8,2,9,8,9,8
ddgg,4,9,9,5,5,2
dgaa,9,1,4,7,5,8
dcab,3,2,9,2,6,1
dffg,1,8,4,8,3,9
djjh,3,3,8,9,9,7
digj,3,3,4,3,7,1
dhbi,3,2,4,9,3,5
dhdj,9,5,5,5,9,8
ddii,3,4,5,9,6,5
diab,4,7,6,7,2,2
difg,1,2,6,7,7,8
dfdj,2,1,7,1,8,7
ddia,8,3,4,2,2,8
djjg,1,7,9,1,7,6
djhi,1,4,8,9,2,1
ddce,6,7,5,3,3,3
dfie,8,5,1,9,2,9
dhci,8,9,7,4,4,7
djcb,6,7,9,8,6,3
ddae,7,6,6,1,5,9
dfea,3,5,1,4,7,6
daai,7,2,2,8,2,9
dhjf,9,2,9,7,4,1
dgcd,6,9,4,6,9,7
daff,9,7,9,1,9,4
dggf,3,1,1,8,2,2
dgej,1,3,6,7,7,5
dige,5,4,6,9,7,9
deib,2,4,9,5,5,2
dchf,4,4,5,9,8,8
dfii,5,4,8,8,8,8
djgj,7,5,9,1,8,8
djfe,5,1,7,9,3,4
dghg,1,7,7,4,8,4
dabf,2,5,9,3,3,9
defh,6,3,8,2,2,2
djad,9,9,6,3,9,4
ddad,2,8,5,2,3,8
dija,9,8,4,5,5,9
dagh,4,6,3,4,1,4
dfjd,5,6,4,2,3,3
dbae,7,9,1,2,2,2
dihd,4,5,1,2,1,8
dibj,4,1,8,2,4,4
defa,9,4,6,9,7,5
dbgj,8,3,7,9,9,8
djbi,7,3,1,3,7,2
difi,1,9,4,9,7,4
dehb,4,8,9,1,3,1
dgga,9,9,1,7,1,6
ddjc,2,3,9,7,1,7
dbhd,8,8,6,1,2,8
deef,3,1,9,9,5,4
dccc,4,1,3,2,3,3
dihj,7,6,7,2,4,9
diae,6,1,8,3,9,4
dfjj,3,9,4,6,1,8
dhed,8,1,9,2,9,8
dfgf,2,8,2,9,4,7
ddca,9,1,4,7,4,8
dahb,7,4,3,2,6,7
dbcf,8,4,5,7,1,9
daii,4,7,1,6,8,2
dcae,7,4,3,8,7,3
dejd,9,6,6,4,3,1
dhhf,5,4,8,8,8,4
dcid,4,9,4,6,2,8
dcfi,6,8,5,7,5,9
daah,5,5,7,8,1,2
didg,9,5,3,6,8,3
djji,7,1,4,4,3,7
djgi,7,5,5,4,7,6
ddfc,4,5,5,2,2,7
dhda,9,8,1,5,3,1
dcde,7,3,7,5,9,5
dfjh,7,5,6,7,9,6
daae,1,6,2,2,4,7
decg,1,6,2,1,1,1
djfi,4,4,2,4,9,6
deca,4,2,6,5,3,4
dbhf,6,7,4,8,3,6
dabb,6,4,9,4,3,8
djhc,2,2,9,7,5,9
dahf,7,8,7,8,2,4
dbef,4,3,3,3,4,1
dceg,1,8,5,1,4,3
dagd,7,9,7,3,6,2
ddcb,3,6,9,5,5,5
dfgg,7,9,4,9,8,7
dcac,6,7,6,4,8,7
dgec,8,8,5,8,1,8
djaa,9,8,2,3,7,6
dedd,8,7,5,3,5,1
dccg,7,8,9,2,3,4
dffc,4,8,8,4,6,6
dgfb,3,4,3,5,1,9
dabg,9,6,8,7,4,9
ddhh,3,4,6,7,7,4
djdf,7,8,4,2,8,6
debc,5,6,8,4,3,2
dfda,5,7,5,6,9,3
dggg,1,8,3,6,4,1
dbac,4,3,8,1,2,1
ddai,4,6,8,3,3,6
dbfc,8,3,7,9,6,3
dfhi,5,6,7,9,6,4
dcje,6,9,7,7,9,2
ddfg,1,5,5,2,9,4
dgjf,2,8,9,6,8,4
dhdi,8,3,6,2,1,2
dgic,2,8,8,2,8,8
dbbj,3,4,2,7,4,1
djie,7,1,3,4,9,7
ddjf,4,7,7,8,9,7
dfib,3,3,5,9,7,8
dbcd,5,8,5,7,3,9
dgha,9,8,2,5,5,2
ddde,1,3,5,6,5,3
dgdh,4,6,4,8,8,5
dhej,9,6,3,6,9,2
dijc,7,4,7,4,8,3
ddid,7,2,9,5,5,7
daed,6,2,2,5,6,9
dfeb,4,4,1,6,1,1
djbg,4,7,4,6,9,3
dajg,2,4,9,2,3,1
ddji,4,1,9,2,7,2
djbd,4,3,1,7,7,5
dfcd,5,8,8,4,2,7
dbei,8,6,5,3,4,9
dddj,6,6,5,1,9,1
dffi,7,2,3,7,7,6
dfae,8,1,4,1,1,8
dhgj,4,8,1,1,8,2
dcfg,9,7,4,5,7,4
djec,9,3,5,3,7,6
djcg,4,5,6,9,9,1
dhcd,7,1,6,8,2,4
djia,8,6,6,5,7,3
dijf,6,6,9,6,8,2
dfdi,9,1,4,6,9,8
daee,3,5,5,4,9,9
daaa,3,8,3,1,4,2
dbji,3,8,4,5,9,7
difd,5,3,8,6,7,7
dajb,9,2,6,2,1,2
deii,5,9,7,3,8,2
dfgh,2,1,2,2,2,6
daad,9,1,5,5,4,5
dfgb,4,5,3,4,3,6
dcha,7,4,4,4,6,1
dedc,2,2,1,4,4,7
dhae,8,1,9,6,7,9
